"name","formula","id","polarity","charge","density","boilingPointCelsius","freezingPointCelsius","unit","fakeScale","mass","radius"
"Water","H<sub>2</sub>O","1","1","-1","1","100","0","1 3 4 8","1","18","23"
"Hydrochloric-Acid","HCl","2","0","0","null","100","0","3 8","1","36.5","25"
"Hydroxide","OH<sup>-</sup>","3","0","-1","null","null","null","8","1","null",""
"Hydronium","H<sub>3</sub>O<sup>+</sup>","4","0","1","null","null","null","8","1","null",""
"Carbon-Dioxide","CO<sub>2</sub>","5","0","0","null","-57","-78","3 4","1","44","35"
"Ammonia","NH<sub>3</sub>","6","0","0","null","-33.34","-77.73","8","1","null",""
"Hydrogen-Peroxide","H<sub>2</sub>O<sub>2</sub>","7","1","0","1.44","150.2","-0.43","1 3","1","34.0147","28"
"Cyanide","CN<sup>-</sup>","8","0","-1","null","null","null","8","1","null",""
"Acetate","C<sub>2</sub>H<sub>3</sub>O<sub>2</sub><sup>-</sup>","9","0","-1","null","null","null","","1","null",""
"Acetic-Acid","HC<sub>2</sub>H<sub>3</sub>O<sub>2</sub>","10","0","0","null","118.5","16.5","2 8","1","null",""
"Aluminum","Al","11","0","0","null","null","null","3","1","null",""
"Aluminum-Chloride","AlCl<sub>3</sub>","12","0","0","null","null","null","3","1","null",""
"Aluminum-Ion","Al<sup>+3</sup>","13","0","3","null","null","null","","1","null",""
"Aluminum-Oxide","Al<sub>2</sub>O<sub>3</sub>","14","0","0","null","null","null","3","1","null",""
"Ammonium","NH<sub>4</sub><sup>+</sup>","15","0","1","null","-33.34","-77.73","","1","null",""
"Ammonium-Acetate","NH<sub>4</sub>CH<sub>3</sub>CO<sub>2</sub>","16","0","0","null","null","null","","1","null",""
"Ammonium-Chloride","NH<sub>4</sub>Cl","17","0","0","null","null","null","3","1","null",""
"Ammonium-Nitrate","NH<sub>4</sub>NO<sub>3</sub>","18","0","0","null","null","null","3","1","null",""
"Bicarbonate","HCO<sub>3</sub>","19","0","0","null","840","270","8","1","null",""
"Blue","Bl","20","0","0","null","null","null","","1","null",""
"Boron","B","21","0","0","null","null","null","","1","null",""
"Boron-Ion","B<sup>+3</sup>","22","0","3","null","null","null","","1","null",""
"Boron-Tetrachloride","BCl<sub>4</sub><sup>-</sup>","23","0","-1","null","null","null","8","1","null",""
"Boron-Trichloride","BCl<sub>3</sub>","24","0","0","null","null","null","8","1","null",""
"Bromide","Br<sup>-</sup>","25","0","-1","null","null","null","","1","null",""
"Bromine","Br<sub>2</sub>","26","1","0","3.12","59","-7.3","1","4","null","32"
