"id","compound_id","element_id"
"1","1","1"
"2","1","1"
"3","1","8"
"4","2","1"
"5","2","17"
"6","3","1"
"7","3","8"
"8","4","1"
"9","4","1"
"10","4","1"
"11","4","8"
"12","5","6"
"13","5","8"
"14","5","8"
"15","6","1"
"16","6","1"
"17","6","1"
"18","6","7"
"19","7","1"
"20","7","1"
"21","7","8"
"22","7","8"
"23","8","6"
"24","8","7"
"25","9","1"
"26","9","1"
"27","9","1"
"28","9","6"
"29","9","6"
"30","9","8"
"31","9","8"
"32","10","1"
"33","10","1"
"34","10","1"
"35","10","1"
"36","10","6"
"37","10","6"
"38","10","8"
"39","10","8"
"40","11","13"
"41","12","13"
"42","12","17"
"43","12","17"
"44","12","17"
"45","13","13"
"46","14","8"
"47","14","8"
"48","14","8"
"49","14","13"
"50","14","13"
"51","15","1"
"52","15","1"
"53","15","1"
"54","15","1"
"55","15","7"
"56","16","1"
"57","16","1"
"58","16","1"
"59","16","1"
"60","16","1"
"61","16","1"
"62","16","1"
"63","16","6"
"64","16","6"
"65","16","7"
"66","16","8"
"67","16","8"
"68","17","1"
"69","17","1"
"70","17","1"
"71","17","1"
"72","17","7"
"73","17","17"
"74","18","1"
"75","18","1"
"76","18","1"
"77","18","1"
"78","18","7"
"79","18","7"
"80","18","8"
"81","18","8"
"82","18","8"
"83","19","1"
"84","19","6"
"85","19","8"
"86","19","8"
"87","19","8"
"88","20","203"
"89","21","5"
"90","22","5"
"91","23","5"
"92","23","17"
"93","23","17"
"94","23","17"
"95","23","17"
"96","24","5"
"97","24","17"
"98","24","17"
"99","24","17"
"100","25","35"
"101","26","35"
"102","26","35"
"103","27","35"
"104","28","35"
"105","29","1"
"106","29","1"
"107","29","1"
"108","29","1"
"109","29","1"
"110","29","1"
"111","29","1"
"112","29","1"
"113","29","1"
"114","29","1"
"115","29","6"
"116","29","6"
"117","29","6"
"118","29","6"
"119","30","1"
"120","30","1"
"121","30","1"
"122","30","1"
"123","30","1"
"124","30","1"
"125","30","1"
"126","30","1"
"127","30","6"
"128","30","6"
"129","30","6"
"130","30","6"
"131","31","20"
"132","32","17"
"133","32","17"
"134","32","20"
"135","33","20"
"136","34","6"
"137","34","6"
"138","35","6"
"139","36","6"
"140","37","6"
"141","37","8"
"142","37","8"
"143","37","8"
"144","38","1"
"145","38","1"
"146","38","6"
"147","38","8"
"148","38","8"
"149","38","8"
"150","39","17"
"151","40","17"
"152","40","17"
"153","41","17"
"154","42","17"
"155","43","24"
"156","44","24"
"157","45","24"
"158","46","8"
"159","46","8"
"160","46","8"
"161","46","24"
"162","46","24"
"163","47","24"
"164","48","29"
"165","49","29"
"166","50","7"
"167","50","7"
"168","50","8"
"169","50","8"
"170","50","8"
"171","50","8"
"172","50","8"
"173","50","8"
"174","50","29"
"175","51","8"
"176","51","8"
"177","51","8"
"178","51","8"
"179","51","16"
"180","51","29"
"181","52","29"
"182","53","1"
"183","53","1"
"184","54","1"
"185","54","1"
"186","54","1"
"187","54","1"
"188","54","1"
"189","54","1"
"190","54","6"
"191","54","6"
"192","54","8"
"193","55","1"
"194","55","1"
"195","55","1"
"196","55","1"
"197","55","6"
"198","55","6"
"199","56","9"
"200","57","9"
"201","57","9"
"202","58","9"
"203","59","9"
"204","60","200"
"205","61","1"
"206","61","1"
"207","61","1"
"208","61","1"
"209","61","1"
"210","61","1"
"211","61","1"
"212","61","1"
"213","61","6"
"214","61","6"
"215","61","6"
"216","61","8"
"217","61","8"
"218","61","8"
"219","62","79"
"220","63","79"
"221","64","79"
"222","65","202"
"223","66","2"
"224","67","2"
"225","68","1"
"226","68","1"
"227","69","1"
"228","70","1"
"229","70","35"
"230","71","1"
"231","71","6"
"232","71","7"
"233","72","1"
"234","72","9"
"235","73","1"
"236","73","53"
"237","74","1"
"238","75","204"
"239","76","53"
"240","76","53"
"241","77","53"
"242","78","53"
"243","79","26"
"244","80","26"
"245","81","26"
"246","82","8"
"247","82","8"
"248","82","8"
"249","82","8"
"250","82","16"
"251","82","26"
"252","83","26"
"253","84","3"
"254","85","3"
"255","85","17"
"256","86","1"
