"compound_id","state","enthalpy(kJ__mol)","entropy(J__mol*K)","gibbsEnergy(kJ__mol)"
"1","solid","-291.83","41","null"
"1","liquid","-285.83","69.95","-237.15"
"1","gas","-241.83","188.84","-228.59"
"11","solid","0","28.3","0"
"102","gas","-74.87","186.26","-50.8"
"175","gas","-104.7","270.3","-24.4"
"5","gas","-393.509","213.74","-394.359"
"111","liquid","-250","361.1","6.4"
"115","liquid","-173.5","263.47","null"
"68","gas","0","130.7","0"
"7","liquid","-187.78","109.6","-120.35"
"108","gas","0","191.56","0"
"6","gas","-45.9","192.77","-16.37"
"17","solid","-314.55","94.85","-203.08"
"112","gas","0","205.07","0"
"74","liquid","0","0","0"
"145","liquid","-239.7","59","-261.905"
"19","liquid","-691.1","91.2","-586.77"
"9","liquid","-486","86.6","-369.31"
"29","liquid","-147.6","229.7","null"
"115","gas","-146.8","263.47","null"
"10","liquid","-486","178.7","-396.46"
"140","liquid","-930.8","101.7","-851"
"139","liquid","-725.7","0","0"
"107","gas","90.29","210.76","86.58"
"140","solid","-950.81","101.7","-851"
"145","solid","-239.7","59","-261.905"
