"name","density","radiusAtomic","radiusIonic","id","freezingPointKelvin","atomicSymbol","mass","boilingPointKelvin","radius"
"Hydrogen","0.00899","37","0.01","1","13.39","H","1.00795","28.39",""
"Helium","0.1785","128","122","2","0.95","He","4.002","4.215",""
"Lithium","0.54","156","76","3","453.7","Li","6.941","161.4",""
"Beryllium","1.85","111.3","45","4","1500","Be","9.01218","2740",""
"Boron","2.46","97","27","5","2349","B","10.811","4137",""
"Carbon","2.7","77","260","6","4188","C","12.01","4293",""
"Nitrogen","1.251","55","146","7","63.14","N","14.0067","77.36",""
"Oxygen","1.429","60","140","8","54.75","O","15.994","90.19",""
"Flourine","1.696","71.7","133","9","53.54","F","18.998403","85.02",""
"Neon","0.89999","158","160","10","24.48","Ne","20.179","27.9",""
"Sodium","0.968","186","102","11","371","Na","22.98977","1155",""
"Magnesium","1.74","160","72","12","923","Mg","24.305","1383",""
"Aluminium","2.7","143.1","53.5","13","933.5","Al","26.98154","2791",""
"Silicon","2.33","117","40","14","1685","Si","28.0855","2953",""
"Phosphorus","1.82","110","38","15","317.3","P","30.9737","553.45",""
"Sulfur","1.92","104","29","16","380","S","32.066","717.9",""
"Chlorine","3.21","99","181","17","172.2","Cl","35.453","239.1",""
"Argon","1.78","191","191","18","83.77","Ar","39.948","87.28",""
"Potassium","0.856","231","138","19","336.4","k","39.0983","1039",""
"Calcium","1.55","197","100","20","1115","Ca","40.078","1766",""
"Scandium","2.99","161","74.5","21","1811","Sc","44.95591","3003",""
"Titanium","4.51","154","60.5","22","1933","Ti","47.88","3551.1",""
"Vanadium","6.11","131","59","23","2190","V","50.9415","3694",""
"Chromium","7.14","125","61.5","24","2130","Cr","51.9961","2952",""
"Manganese","7.47","118","83","25","1517","Mn","54.938","2368",""
"Iron","7.87","125","78","26","1809","Fe","55.847","3136",""
"Cobalt","8.9","125","74.5","27","1767","Co","58.9332","3170",""
"Nickel","8.91","124","69","28","1728","Ni","59.69","3157",""
"Copper","8.92","128","73","29","1358","Cu","63.546","2845",""
"Zinc","7.14","133","74","30","692.7","Zn","65.39","1183",""
"Gallium","5.9","122.1","62","31","302.9","Ga","69.723","2476",""
"Germanium","5.32","122.5","53","32","1211","Ge","72.61","3123",""
"Arsenic","5.73","116","58","33","1090","As","74.9216","888",""
"Selenium","4.82","115","50","34","490","Se","78.96","958",""
"Bromine","3.1","195","196","35","265.9","Br","79.904","332.6",""
"Krypton","3.73","201","198","36","116","Kr","83.8","119.8",""
"Rubidium","1.53","243","152","37","312","Rb","85.4678","964",""
"Strontium","2.63","215","118","38","1030","Sr","87.62","1639",""
"Yitrium","4.47","180","90","39","1782","Y","88.9059","3573",""
"Zirconium","6.51","161","87","40","2125","Zr","91.224","3850",""
"Niobium","8.57","147","64","41","2741","Nb","92.9064","5133",""
"Molybdenum","10.28","136","59","42","2896","Mo","95.94","4956",""
"Technetium","11.49","135","56","43","2523","Tc","98.9072","4840",""
"Ruthenium","12.41","132","68","44","2723","Rh","101.07","4423",""
"Rhodium","12.41","134.5","66.5","45","2239","Rh","102.9055","4000",""
"Palladium","12.02","138","86","46","1828","Pd","106.42","3440",""
"Silver","10.49","144","115","47","1235","Ag","107.8682","2437",""
"Cadmium","8.65","148.9","95","48","594","Cd","112.41","1040",""
"Indium","7.31","151","80","49","429.8","In","114.82","2353",""
"Tin","7.31","140.5","69","50","505","Sn","118.71","2780",""
"Antimony","6.7","182","69","51","903.9","Sb","121.75","1908",""
"Tellurium","6.24","137","97","52","723","Te","127.6","1263",""
"Iodine","4.82","215","220","53","386.8","I","78.96","458.4",""
"Xenon","5.89","218","220","54","161.4","Xe","131.29","165.1",""
"Cesium","1.88","265","167","55","301.6","Cs","132.9054","941.4",""
"Barium","3.51","210","136","56","1000","Ba","137.33","2118",""
"Lanthanum","6.17","187.7","103.2","57","1193","La","138.9055","3743",""
"Cerium","6.77","null","null","58","1068","Ce","140.12","3633",""
"Praseodynium","6.77","null","null","59","1208","Pr","140.12","3563",""
"Neodymium","7","null","null","60","1297","Nd","144.24","3373",""
"Promethium","7","null","null","61","1353","PR","61","3273",""
"Samarium","7.54","null","null","62","1345","Sm","150.36","2076",""
"Europium","5.24","null","null","63","1099","Eu","151.96","1800",""
"Gadolinium","7.9","null","null","64","1585","Gd","157.25","3523",""
"Terbium","8.25","null","null","65","1629","Tb","158.9254","3503",""
"Dysprosium","8.54","null","null","66","1680","Dy","162.5","2840",""
"Holmium","8.54","null","null","67","1734","Ho","164.9304","1993",""
"Erbium","9.05","null","null","68","1770","Er","167.26","3141",""
"Thulium","9.32","null","null","69","1818","Tm","16.84","2223",""
"Yitterbium","9.32","null","null","70","1097","Yb","168.9342","1469",""
"Lutetium","9.84","null","null","71","1925","Lu","174.967","3675",""
"Halfnium","13.31","154","71","72","2500","Hf","178.49","4723",""
"Tantalum","16.65","143","64","73","3258","Ta","180.9479","5786",""
"Tungsten","19.25","137","60","74","3680","W","183.85","6173",""
"Rhenium","21.02","138","63","75","3453","Re","186.21","5951",""
"Osmium","22.61","134","63","76","3318","Os","190.2","5498",""
"Iridium","22.65","135.5","68","77","2723","Ir","192.22","4823",""
"Platinum","21.09","138.5","62.5","78","2046","Pt","195.08","4097",""
"Gold","19.3","144","85","79","1338","Au","196.9665","3081",""
"Mercury","13.53","147","102","80","234.3","Hg","200.59","630.1","16"
"Thallium","11.85","576.7","1730","81","576.7","Tl","204.383","1730",""
"Lead","11.34","175","119","82","600.6","Pb","207.2","2013",""
"Bismuth","9.78","154.7","96","83","644.7","Bi","208.9804","1777",""
"Polonium","9.2","527","1235","84","527","Po","208.9824","1235",""
"Astatine","null","null","227","85","302","At","209.987","377",""
"Radon","9.73","132","145","86","202","Rn","222.02","211",""
"Francium","null","270","180","87","27","Fr","223.0197","677",""
"Radium","5.5","223","148","88","973.25","Ra","226.03","2010",""
"Actinium","10.07","203","111","89","1323","Ac","227.027","3300",""
"Thorium","11.72","null","null","90","2115","Th","232.0381","5093",""
"Protactinium","15.37","null","null","91","1841","Pa","231.0359","4500",""
"Uranium","19.05","null","null","92","1405","U","238.0359","4200",""
"Neptunium","20.45","null","null","93","910","Np","237.048","4173",""
"Plutonium","19.82","null","null","94","912.65","Pu","244.064","3503",""
"Americium","null","null","null","95","994","Am","243.061","2607",""
"Curium","13.51","null","null","96","1613","cm","247.07","3383",""
"Berkelium","14.78","null","null","97","1259","Bk","247.07","null",""
"Californium","null","null","null","98","1173","Cf","251.08","null",""
"Einsteinium","null","null","null","99","857","Es","252.083","null",""
"Fermium","null","null","null","100","1527","Fm","257.0951","null",""
"Mendelevium","null","null","null","101","857","Md","258.1","null",""
"Nobelium","null","null","null","102","857","No","259.101","null",""
"Lawrencium","null","null","null","103","1627","Lr","260.105","null",""
"Rutherfodium","null","null","null","104","null","Rf","261.109","null",""
"Dubinium","null","null","null","105","null","Db","262.114","null",""
"Seaborgium","null","null","null","106","null","Sg","263.118","null",""
"Bohrium","null","null","null","107","null","Bh","262.123","null",""
"Hassium","null","null","null","108","null","Hs","265","null",""
"Meitnerium","null","null","null","109","null","Mt","266","null",""
"Ununnilium","null","null","null","110","null","unn","269","null",""
"Unununium","null","null","null","111","null","Uuu","272","null",""
"Ununbium","null","null","null","112","null","Uub","277","null",""
"Ununtrium","null","null","null","113","null","Uut","280","null",""
"Ununquadium","null","null","null","114","null","Uuq","285","null",""
"Catalyst","null","null","null","115","null","","8","null",""
"Inert","null","null","null","116","null","","8","null",""
"Proton","null","null","null","117","null","","8","null",""
"Neutron","null","null","null","118","null","","8","null",""
