"id","type","reaction_id","compound_id","compound_num"
"1","input","1","1","null"
"2","input","1","106","null"
"3","output","1","4","null"
"4","output","1","105","null"
"5","input","2","4","null"
"6","input","2","56","null"
"7","output","2","1","null"
"8","output","2","1","null"
"9","input","3","3","null"
"10","input","3","4","null"
"11","output","3","1","null"
"12","output","3","72","null"
"13","input","4","3","null"
"14","input","4","15","null"
"15","output","4","1","null"
"16","output","4","6","null"
"17","input","5","4","null"
"18","input","5","10","null"
"19","output","5","1","null"
"20","output","5","10","null"
"21","input","6","25","null"
"22","input","6","71","null"
"23","output","6","8","null"
"24","output","6","70","null"
"25","input","7","1","null"
"26","input","7","135","null"
"27","output","7","3","null"
"28","output","7","144","null"
"29","input","8","1","null"
"30","input","8","10","null"
"31","output","8","3","null"
"32","output","8","9","null"
"33","input","9","1","null"
"34","input","9","6","null"
"35","output","9","3","null"
"36","output","9","15","null"
"37","input","10","1","null"
"38","input","10","103","null"
"39","output","10","3","null"
"40","output","10","104","null"
"41","input","11","1","null"
"42","input","11","72","null"
"43","output","11","4","null"
"45","input","12","1","null"
"46","input","12","2","null"
"47","output","12","4","null"
"48","output","12","39","null"
"49","input","13","2","null"
"50","input","13","6","null"
"51","output","13","15","null"
"52","output","13","39","null"
"53","input","14","8","null"
"54","input","14","70","null"
"55","output","14","25","null"
"56","output","14","71","null"
"57","input","15","7","null"
"58","input","15","7","null"
"59","output","15","1","null"
"60","output","15","1","null"
"61","output","15","112","null"
"62","input","16","138","2"
"63","input","16","40","1"
"64","output","16","142","2"
"65","input","17","73","2"
"66","output","17","68","1"
"67","output","17","76","1"
"68","input","18","55","1"
"69","input","18","112","3"
"70","output","18","5","2"
"71","output","18","1","2"
"72","input","19","48","1"
"73","input","19","136","2"
"74","output","19","131","2"
"75","output","19","49","1"
"76","input","20","102","1"
"77","input","20","112","2"
"78","output","20","5","1"
"79","output","20","1","2"
"80","input","21","79","1"
"81","input","21","49","1"
"82","output","21","48","1"
"83","output","21","81","1"
"84","input","22","74","2"
"85","input","22","90","1"
"86","output","22","160","1"
"88","input","23","68","1"
"89","input","23","40","1"
"90","output","23","2","2"
"91","input","24","7","2"
"92","output","24","1","2"
"93","output","24","112","1"
"94","input","25","39","1"
"95","input","25","136","1"
"96","output","25","134","1"
"98","input","26","120","1"
"99","input","26","137","1"
"100","output","26","123","1"
"101","output","26","132","1"
"102","input","27","89","1"
"103","input","27","120","1"
"104","output","27","123","1"
"105","output","27","161","1"
"106","input","28","141","1"
"107","input","28","120","2"
"108","output","28","162","2"
"109","output","28","163","1"
"110","input","29","137","2"
"111","input","29","141","1"
"112","output","29","146","2"
"113","output","29","133","1"
"114","input","30","102","1"
"115","input","30","112","2"
"116","output","30","5","1"
"117","output","30","1","2"
"118","input","31","73","2"
"119","output","31","68","1"
"120","output","31","76","1"
"121","input","32","140","1"
"122","input","32","10","1"
"123","output","32","139","1"
"124","output","32","5","1"
"125","output","32","1","1"
"126","input","33","140","1"
"127","input","33","10","1"
"128","output","33","139","1"
"129","output","33","5","1"
"130","output","33","1","1"
"131","input","34","166","1"
"132","input","34","107","1"
"133","output","34","168","1"
"134","output","34","167","1"
"135","input","35","166","1"
"136","input","35","107","1"
"137","output","35","168","1"
"138","output","35","167","1"
"139","input","41","166","1"
"140","input","41","107","1"
"141","output","41","168","1"
"142","output","41","167","1"
"143","input","42","169","1"
"144","output","42","168","2"
"145","input","38","6","2"
"146","output","38","68","3"
"147","output","38","108","1"
"148","input","39","168","2"
"149","output","39","107","2"
"150","output","39","112","1"
"151","input","40","170","1"
"152","input","40","168","1"
"153","output","40","5","1"
"154","output","40","107","1"
"155","input","36","166","1"
"156","input","36","107","1"
"157","output","36","168","1"
"158","output","36","167","1"
"159","input","37","166","1"
"160","input","37","107","1"
"161","output","37","168","1"
"162","output","37","167","1"
"163","input","43","150","1"
"164","input","43","112","1"
"165","output","43","172","1"
"166","input","44","168","2"
"167","output","44","169","1"
"168","input","45","68","2"
"169","input","45","112","1"
"170","output","45","1","2"
"171","output","46","173","1"
"172","output","46","40","1"
"173","input","46","174","1"
"174","input","47","168","2"
"175","output","47","169","1"
"176","input","48","29","2"
"177","input","48","112","13"
"178","output","48","5","8"
"179","output","48","1","10"
"180","input","49","29","2"
"181","input","49","112","13"
"182","output","49","5","8"
"183","output","49","1","10"
"184","input","50","115","1"
"185","input","50","112","8"
"186","output","50","5","5"
"187","output","50","1","6"
"188","input","51","7","2"
"189","output","51","1","2"
"190","output","51","112","1"
"191","input","52","175","1"
"192","input","52","112","5"
"193","output","52","5","3"
"194","output","52","1","4"
"195","input","53","6","4"
"196","input","53","112","5"
"197","output","53","107","4"
"198","output","53","1","6"
"199","input","54","68","2"
"200","input","54","112","1"
"201","output","54","1","2"
"202","input","55","115","1"
"203","input","55","112","8"
"204","output","55","5","5"
"205","output","55","1","6"
"206","input","56","140","1"
"207","input","56","10","1"
"209","output","56","1","1"
"210","output","56","5","1"
"211","output","56","139","1"
"212","input","57","2","1"
"213","input","57","1","1"
"214","output","57","4","1"
"215","output","57","39","1"
"216","input","59","2","1"
"217","input","59","143","1"
"218","output","59","1","1"
"219","output","59","142","1"
"220","input","64","2","1"
"221","input","64","1","1"
"222","output","64","4","1"
"223","output","64","39","1"
"224","input","65","72","1"
"225","input","65","1","1"
"226","output","65","4","1"
"227","output","65","56","1"
"228","input","67","6","1"
"229","input","67","1","1"
"230","output","67","15","1"
"231","output","67","3","1"
"233","input","68","10","1"
"234","input","68","1","1"
"235","output","68","4","1"
"236","output","68","9","1"
"237","input","70","103","1"
"238","input","70","1","1"
"239","output","70","3","1"
"240","output","70","104","1"
"241","input","71","106","1"
"242","input","71","1","1"
"243","output","71","4","1"
"244","output","71","105","1"
"245","input","72","2","1"
"246","input","72","143","1"
"247","output","72","1","1"
"248","output","72","142","1"
"249","input","73","2","1"
"250","input","73","143","1"
"251","output","73","142","1"
"252","output","73","1","1"
"253","input","58","143","1"
"254","input","58","1","1"
"255","output","58","1","1"
"256","output","58","145","1"
"257","output","58","3","1"
"258","input","66","143","1"
"259","input","66","1","1"
"260","output","66","1","1"
"261","output","66","145","1"
"262","output","66","3","1"
"263","input","69","1","1"
"264","input","69","86","1"
"265","output","69","88","1"
"266","output","69","3","1"
"267","output","69","1","1"
"268","input","74","6","1"
"269","input","74","1","1"
"270","output","74","15","1"
"271","output","74","3","1"
"272","input","75","169","1"
"273","output","75","168","2"
"274","input","59","4","1"
"275","output","59","4","1"
"276","input","76","7","2"
"277","output","76","1","2"
"278","output","76","112","1"
"279","output","59","39","1"
"280","output","22","39","2"
"281","output","22","88","2"
"282","input","22","39","2"
"283","input","74","1","1"
"284","input","74","15","1"
"285","input","74","2","1"
"286","output","74","4","1"
"287","output","74","17","1"
"290","output","73","4","1"
"291","output","73","39","1"
"292","input","77","2","1"
"293","input","77","1","1"
"294","input","77","6","1"
"295","output","77","17","1"
"296","output","77","39","1"
"297","output","77","4","1"
"298","output","77","3","1"
"299","input","78","72","1"
"300","input","78","1","1"
"301","output","78","145","1"
"302","output","78","3","1"
"303","output","78","56","1"
"304","output","78","4","1"
"305","output","78","1","1"
"306","input","79","1","1"
"307","input","79","72","1"
"308","input","79","6","1"
"309","output","79","4","1"
"310","output","79","56","1"
"311","output","79","15","1"
"312","output","79","3","1"
"313","output","77","15","1"
"314","output","64","74","1"
"315","output","64","42","1"
"316","output","74","39","1"
